Year,Highest certificate obtained,State,Labour Force ('000),Employed persons ('000)
1984,UPSR/UPSRA or equivalent,Perlis,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Perlis,5,4.8
1984,SPM or equivalent,Perlis,8.6,7.3
1984,STPM or equivalent,Perlis,0.6,0.4
1984,Certificate,Perlis,-,-
1984,Diploma,Perlis,2,1.9
1984,Degree,Perlis,0.6,0.5
1984,Religious certificate,Perlis,0, -
1984,No certificate,Perlis,41.2,40.2
1984,Not applicable,Perlis,6.9,6.8
1984,Total,Selangor,718.8,690.3
1984,UPSR/UPSRA or equivalent,Selangor,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Selangor,81.6,77.1
1984,SPM or equivalent,Selangor,162.9,155.5
1984,STPM or equivalent,Selangor,17,16.4
1984,Certificate,Selangor,-,-
1984,Diploma,Selangor,24.3,24
1984,Degree,Selangor,30.6,29.6
1984,Religious certificate,Selangor,0.6,0.6
1984,No certificate,Selangor,353,339.6
1984,Not applicable,Selangor,48.8,47.7
1984,Total,Terengganu,219.3,204.4
1984,UPSR/UPSRA or equivalent,Terengganu,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Terengganu,17.7,15.5
1984,SPM or equivalent,Terengganu,31.3,26.7
1984,STPM or equivalent,Terengganu,1.5,1.3
1984,Certificate,Terengganu,-,-
1984,Diploma,Terengganu,6.8,6.7
1984,Degree,Terengganu,2.9,2.8
1984,Religious certificate,Terengganu,0.4,0.4
1984,No certificate,Terengganu,114.2,107.5
1984,Not applicable,Terengganu,44.4,43.6
1984,Total,Sabah,425.9,400.3
1984,UPSR/UPSRA or equivalent,Sabah,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Sabah,43.7,39.2
1984,SPM or equivalent,Sabah,33.2,30.8
1984,STPM or equivalent,Sabah,2.6,2.5
1984,Certificate,Sabah,-,-
1984,Diploma,Sabah,4.8,4.7
1984,Degree,Sabah,6.1,5.8
1984,Religious certificate,Sabah,0.2,0.2
1984,No certificate,Sabah,226.4,211.4
1984,Not applicable,Sabah,108.9,105.6
1984,Total,Sarawak,616.7,575.3
1984,UPSR/UPSRA or equivalent,Sarawak,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Sarawak,53.6,46.5
1984,SPM or equivalent,Sarawak,43.8,39.4
1984,STPM or equivalent,Sarawak,3.2,2.9
1984,Certificate,Sarawak,-,-
1984,Diploma,Sarawak,12.4,12.2
1984,Degree,Sarawak,8.3,7.7
1984,Religious certificate,Sarawak,-, -
1984,No certificate,Sarawak,310.3,285.4
1984,Not applicable,Sarawak,185,181.1
1984,Total,W.P. Kuala Lumpur,504.5,485.4
1984,UPSR/UPSRA or equivalent,W.P. Kuala Lumpur,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Kuala Lumpur,84.3,79.9
1984,SPM or equivalent,W.P. Kuala Lumpur,134.3,128.8
1984,STPM or equivalent,W.P. Kuala Lumpur,15.5,15
1984,Certificate,W.P. Kuala Lumpur,-,-
1984,Diploma,W.P. Kuala Lumpur,8.7,8.5
1984,Degree,W.P. Kuala Lumpur,19.6,19.2
1984,Religious certificate,W.P. Kuala Lumpur,0.4,0.4
1984,No certificate,W.P. Kuala Lumpur,217.9,210.7
1984,Not applicable,W.P. Kuala Lumpur,23.9,22.9
1984,Total,W.P. Labuan,17.3,16
1984,UPSR/UPSRA or equivalent,W.P. Labuan,-, -
1984,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Labuan,2.4,2.3
1984,SPM or equivalent,W.P. Labuan,2.3,2.1
1984,STPM or equivalent,W.P. Labuan,0.1,0.1
1984,Certificate,W.P. Labuan,-, -
1984,Diploma,W.P. Labuan,0.3,0.2
1984,Degree,W.P. Labuan,0.4,0.4
1984,Religious certificate,W.P. Labuan,0,0
1984,No certificate,W.P. Labuan,9.9,9
1984,Not applicable,W.P. Labuan,1.9,1.8
1985,Total,Malaysia,"5,990.10","5,653.40"
